current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,previous_image,all_blanks_list
images/stimuli_labeled/coco_nonshared_68480__rainy_manhattan_street.jpg,0,23,0,0,0,"clean
white
bathroom","[11, 21, 35]"
images/stimuli_labeled/coco_nonshared_67275__ancient_pottery_collection.jpg,0,24,0,0,0,"rainy
manhattan
street","[11, 21, 35]"
images/stimuli_labeled/coco_shared_121__students_studying_outdoors.jpg,0,25,0,0,0,"ancient
pottery
collection","[11, 21, 35]"
images/stimuli_labeled/coco_shared_952__train_crossing_countryside.jpg,0,26,0,0,0,"students
studying
outdoors","[11, 21, 35]"
images/stimuli_labeled/coco_shared_307__highway_road_sign.jpg,0,27,0,0,0,"train
crossing
countryside","[11, 21, 35]"
images/stimuli_labeled/target2__orange_square_container.jpg,0,28,0,0,0,"highway
road
sign","[11, 21, 35]"
images/stimuli_labeled/coco_shared_728__refrigerator_and_stove.jpg,0,29,0,0,0,"orange
square
container","[11, 21, 35]"
images/stimuli_labeled/coco_shared_660__cluttered_entertainment_setup.jpg,0,30,0,0,0,"refrigerator
and
stove","[11, 21, 35]"
images/stimuli_labeled/coco_shared_570__man_eating_outdoors.jpg,0,31,0,0,0,"cluttered
entertainment
setup","[11, 21, 35]"
images/stimuli_labeled/coco_nonshared_10142__dog_and_cat.jpg,0,32,0,0,0,"man
eating
outdoors","[11, 21, 35]"
images/stimuli_labeled/extra10__smiling_violinist_performing.jpg,0,33,0,0,0,"dog
and
cat","[11, 21, 35]"
images/stimuli_labeled/coco_nonshared_2909__rolling_pins_globes.jpg,0,34,0,0,0,"smiling
violinist
performing","[11, 21, 35]"
blank.jpg,0,35,1,1,0,"rolling
pins
globes","[11, 21, 35]"
images/stimuli_labeled/coco_shared_181__freight_train_locomotive.jpg,0,0,0,0,1,blank,"[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_56318__cyclist_in_snow.jpg,0,1,0,0,1,"freight
train
locomotive","[9, 22, 35]"
images/stimuli_labeled/coco_shared_400__blue_yellow_locomotive.jpg,0,2,0,0,1,"cyclist
in
snow","[9, 22, 35]"
images/stimuli_labeled/coco_shared_379__train_bridge_skyscraper.jpg,0,3,0,0,1,"blue
yellow
locomotive","[9, 22, 35]"
images/stimuli_labeled/coco_shared_190__cat_on_bench.jpg,0,4,0,0,1,"train
bridge
skyscraper","[9, 22, 35]"
images/stimuli_labeled/coco_shared_145__bike_hydrant_doorway.jpg,0,5,0,0,1,"cat
on
bench","[9, 22, 35]"
images/stimuli_labeled/coco_shared_153__red_fire_hydrant.jpg,0,6,0,0,1,"bike
hydrant
doorway","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_35399__dog_beside_laptop.jpg,0,7,0,0,1,"red
fire
hydrant","[9, 22, 35]"
images/stimuli_labeled/coco_shared_648__cozy_living_room.jpg,0,8,0,0,1,"dog
beside
laptop","[9, 22, 35]"
blank.jpg,0,9,1,0,1,"cozy
living
room","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_64734__unmade_striped_bed.jpg,0,10,0,0,1,blank,"[9, 22, 35]"
images/stimuli_labeled/coco_shared_973__curlyhaired_man_surprised.jpg,0,11,0,0,1,"unmade
striped
bed","[9, 22, 35]"
images/stimuli_labeled/extra34__statue_in_park.jpg,0,12,0,0,1,"curlyhaired
man
surprised","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_66583__three_cats_cuddling.jpg,0,13,0,0,1,"statue
in
park","[9, 22, 35]"
images/stimuli_labeled/coco_shared_254__smiling_bowlerhatted_man.jpg,0,14,0,0,1,"three
cats
cuddling","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_50564__family_cats_bedspread.jpg,0,15,0,0,1,"smiling
bowlerhatted
man","[9, 22, 35]"
images/stimuli_labeled/coco_shared_158__winetasting_bald_man.jpg,0,16,0,0,1,"family
cats
bedspread","[9, 22, 35]"
images/stimuli_labeled/coco_shared_925__clean_white_bathroom.jpg,1,17,0,0,1,"winetasting
bald
man","[9, 22, 35]"
images/stimuli_labeled/target2__orange_square_container.jpg,1,18,0,0,1,"clean
white
bathroom","[9, 22, 35]"
images/stimuli_labeled/coco_shared_510__yellow_train_station.jpg,0,19,0,0,1,"orange
square
container","[9, 22, 35]"
images/stimuli_labeled/coco_shared_212__train_station_tracks.jpg,0,20,0,0,1,"yellow
train
station","[9, 22, 35]"
images/stimuli_labeled/album10__family_smiling.jpg,0,21,0,0,1,"train
station
tracks","[9, 22, 35]"
blank.jpg,0,22,1,0,1,"family
smiling","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_12137__messy_bed_cat.jpg,0,23,0,0,1,blank,"[9, 22, 35]"
images/stimuli_labeled/coco_shared_230__passenger_train_approaching.jpg,0,24,0,0,1,"messy
bed
cat","[9, 22, 35]"
images/stimuli_labeled/album15__family_gathering_snapshot.jpg,0,25,0,0,1,"passenger
train
approaching","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_39488__dilapidated_window_books.jpg,0,26,0,0,1,"family
gathering
snapshot","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_59217__portraits_on_bed.jpg,0,27,0,0,1,"dilapidated
window
books","[9, 22, 35]"
images/stimuli_labeled/extra6__dog_in_snow.jpg,0,28,0,0,1,"portraits
on
bed","[9, 22, 35]"
images/stimuli_labeled/coco_shared_274__dog_in_car.jpg,0,29,0,0,1,"dog
in
snow","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_39075__vintage_clock_curtains.jpg,0,30,0,0,1,"dog
in
car","[9, 22, 35]"
images/stimuli_labeled/coco_shared_718__dog_in_truck.jpg,0,31,0,0,1,"vintage
clock
curtains","[9, 22, 35]"
images/stimuli_labeled/coco_shared_852__ornate_street_clock.jpg,0,32,0,0,1,"dog
in
truck","[9, 22, 35]"
images/stimuli_labeled/coco_shared_985__colorful_vintage_motorcycles.jpg,0,33,0,0,1,"ornate
street
clock","[9, 22, 35]"
images/stimuli_labeled/coco_shared_508__cluttered_computer_desk.jpg,0,34,0,0,1,"colorful
vintage
motorcycles","[9, 22, 35]"
blank.jpg,0,35,1,1,1,"cluttered
computer
desk","[9, 22, 35]"
images/stimuli_labeled/coco_shared_340__students_eating_pizza.jpg,0,0,0,0,2,blank,"[8, 18, 35]"
images/stimuli_labeled/coco_shared_640__colorful_beached_boats.jpg,0,1,0,0,2,"students
eating
pizza","[8, 18, 35]"
images/stimuli_labeled/coco_shared_854__rusty_river_boat.jpg,0,2,0,0,2,"colorful
beached
boats","[8, 18, 35]"
images/stimuli_labeled/extra18__southern_park_woman.jpg,0,3,0,0,2,"rusty
river
boat","[8, 18, 35]"
images/stimuli_labeled/coco_shared_52__ferry_stop_sign.jpg,0,4,0,0,2,"southern
park
woman","[8, 18, 35]"
images/stimuli_labeled/coco_shared_781__child_holding_hairbrush.jpg,0,5,0,0,2,"ferry
stop
sign","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_44856__man_in_courtyard.jpg,0,6,0,0,2,"child
holding
hairbrush","[8, 18, 35]"
images/stimuli_labeled/coco_shared_518__fishing_boats_harbor.jpg,0,7,0,0,2,"man
in
courtyard","[8, 18, 35]"
blank.jpg,0,8,1,0,2,"fishing
boats
harbor","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_6223__umbrella_rain_bus.jpg,0,9,0,0,2,blank,"[8, 18, 35]"
images/stimuli_labeled/coco_shared_172__decayed_wall_clock.jpg,0,10,0,0,2,"umbrella
rain
bus","[8, 18, 35]"
images/stimuli_labeled/coco_shared_298__modern_bathroom_interior.jpg,0,11,0,0,2,"decayed
wall
clock","[8, 18, 35]"
images/stimuli_labeled/coco_shared_650__rainbow_umbrella_person.jpg,0,12,0,0,2,"modern
bathroom
interior","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_32883__dog_watching_laptop.jpg,0,13,0,0,2,"rainbow
umbrella
person","[8, 18, 35]"
images/stimuli_labeled/coco_shared_476__dogs_on_boat.jpg,0,14,0,0,2,"dog
watching
laptop","[8, 18, 35]"
images/stimuli_labeled/coco_shared_838__man_eating_sandwich.jpg,0,15,0,0,2,"dogs
on
boat","[8, 18, 35]"
images/stimuli_labeled/coco_shared_892__turquoise_passenger_train.jpg,0,16,0,0,2,"man
eating
sandwich","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_17523__person_and_cat.jpg,0,17,0,0,2,"turquoise
passenger
train","[8, 18, 35]"
blank.jpg,0,18,1,0,2,"person
and
cat","[8, 18, 35]"
images/stimuli_labeled/coco_shared_807__computer_desk_workspace.jpg,0,19,0,0,2,blank,"[8, 18, 35]"
images/stimuli_labeled/extra39__black_poodle_sitting.jpg,0,20,0,0,2,"computer
desk
workspace","[8, 18, 35]"
images/stimuli_labeled/coco_shared_508__cluttered_computer_desk.jpg,1,21,0,0,2,"black
poodle
sitting","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_45693__sleeping_child_cat.jpg,0,22,0,0,2,"cluttered
computer
desk","[8, 18, 35]"
images/stimuli_labeled/coco_shared_702__cat_on_windowsill.jpg,0,23,0,0,2,"sleeping
child
cat","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_50638__man_with_cats.jpg,0,24,0,0,2,"cat
on
windowsill","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_18435__ornate_antique_clock.jpg,0,25,0,0,2,"man
with
cats","[8, 18, 35]"
images/stimuli_labeled/coco_shared_476__dogs_on_boat.jpg,1,26,0,0,2,"ornate
antique
clock","[8, 18, 35]"
images/stimuli_labeled/coco_shared_87__wet_dog_bathtub.jpg,0,27,0,0,2,"dogs
on
boat","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_8619__ancient_ceramic_vessel.jpg,0,28,0,0,2,"wet
dog
bathtub","[8, 18, 35]"
images/stimuli_labeled/coco_shared_297__floral_geometric_arrangement.jpg,0,29,0,0,2,"ancient
ceramic
vessel","[8, 18, 35]"
images/stimuli_labeled/extra16__man_drinking_coffee.jpg,0,30,0,0,2,"floral
geometric
arrangement","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_40671__child_cuddling_cat.jpg,0,31,0,0,2,"man
drinking
coffee","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_30262__cat_getting_brushed.jpg,0,32,0,0,2,"child
cuddling
cat","[8, 18, 35]"
images/stimuli_labeled/coco_shared_554__bench_overlooking_cityscape.jpg,0,33,0,0,2,"cat
getting
brushed","[8, 18, 35]"
images/stimuli_labeled/coco_shared_239__kite_flying_rocks.jpg,0,34,0,0,2,"bench
overlooking
cityscape","[8, 18, 35]"
blank.jpg,0,35,1,1,2,"kite
flying
rocks","[8, 18, 35]"
images/stimuli_labeled/coco_nonshared_57892__busy_urban_street.jpg,0,0,0,0,3,blank,"[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_65574__busy_new_york_sidewalk.jpg,0,1,0,0,3,"busy
urban
street","[9, 22, 35]"
images/stimuli_labeled/coco_shared_321__dog_enjoying_ride.jpg,0,2,0,0,3,"busy
new
york
sidewalk","[9, 22, 35]"
images/stimuli_labeled/extra40__man_in_white.jpg,0,3,0,0,3,"dog
enjoying
ride","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_14357__cats_hair_bed.jpg,0,4,0,0,3,"man
in
white","[9, 22, 35]"
images/stimuli_labeled/coco_shared_139__pitcher_vase_terracotta.jpg,0,5,0,0,3,"cats
hair
bed","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_27905__dog_and_cat.jpg,0,6,0,0,3,"pitcher
vase
terracotta","[9, 22, 35]"
images/stimuli_labeled/coco_shared_682__old_rusty_hydrant.jpg,0,7,0,0,3,"dog
and
cat","[9, 22, 35]"
images/stimuli_labeled/coco_shared_578__woman_with_umbrella.jpg,0,8,0,0,3,"old
rusty
hydrant","[9, 22, 35]"
blank.jpg,0,9,1,0,3,"woman
with
umbrella","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_11615__snowy_bicycle_streetscape.jpg,0,10,0,0,3,blank,"[9, 22, 35]"
images/stimuli_labeled/coco_shared_738__home_office_workspace.jpg,0,11,0,0,3,"snowy
bicycle
streetscape","[9, 22, 35]"
images/stimuli_labeled/coco_shared_245__large_sailing_ship.jpg,0,12,0,0,3,"home
office
workspace","[9, 22, 35]"
images/stimuli_labeled/coco_shared_206__urban_intersection_traffic.jpg,0,13,0,0,3,"large
sailing
ship","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_33733__cat_obscuring_face.jpg,0,14,0,0,3,"urban
intersection
traffic","[9, 22, 35]"
images/stimuli_labeled/coco_shared_417__woman_on_bench.jpg,0,15,0,0,3,"cat
obscuring
face","[9, 22, 35]"
images/stimuli_labeled/coco_shared_211__orange_bnsf_locomotive.jpg,0,16,0,0,3,"woman
on
bench","[9, 22, 35]"
images/stimuli_labeled/coco_shared_511__freight_trains_passing.jpg,0,17,0,0,3,"orange
bnsf
locomotive","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_5528__messy_cake_aftermath.jpg,0,18,0,0,3,"freight
trains
passing","[9, 22, 35]"
images/stimuli_labeled/extra16__man_drinking_coffee.jpg,1,19,0,0,3,"messy
cake
aftermath","[9, 22, 35]"
images/stimuli_labeled/coco_shared_762__dinner_party_table.jpg,0,20,0,0,3,"man
drinking
coffee","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_59041__cats_lounging_bed.jpg,0,21,0,0,3,"dinner
party
table","[9, 22, 35]"
blank.jpg,0,22,1,0,3,"cats
lounging
bed","[9, 22, 35]"
images/stimuli_labeled/extra14__orange_monolith_park.jpg,0,23,0,0,3,blank,"[9, 22, 35]"
images/stimuli_labeled/coco_shared_160__messy_porch_furniture.jpg,0,24,0,0,3,"orange
monolith
park","[9, 22, 35]"
images/stimuli_labeled/coco_shared_208__ornate_clock_facade.jpg,0,25,0,0,3,"messy
porch
furniture","[9, 22, 35]"
images/stimuli_labeled/coco_shared_199__train_passing_countryside.jpg,0,26,0,0,3,"ornate
clock
facade","[9, 22, 35]"
images/stimuli_labeled/coco_shared_570__man_eating_outdoors.jpg,1,27,0,0,3,"train
passing
countryside","[9, 22, 35]"
images/stimuli_labeled/coco_shared_798__modern_bathroom_interior.jpg,0,28,0,0,3,"man
eating
outdoors","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_3857__urban_subway_entrance.jpg,0,29,0,0,3,"modern
bathroom
interior","[9, 22, 35]"
images/stimuli_labeled/coco_shared_257__subway_smartphone_users.jpg,0,30,0,0,3,"urban
subway
entrance","[9, 22, 35]"
images/stimuli_labeled/album15__family_gathering_snapshot.jpg,1,31,0,0,3,"subway
smartphone
users","[9, 22, 35]"
images/stimuli_labeled/coco_nonshared_448__sleep_number_remotes.jpg,0,32,0,0,3,"family
gathering
snapshot","[9, 22, 35]"
images/stimuli_labeled/coco_shared_361__dog_on_truck.jpg,0,33,0,0,3,"sleep
number
remotes","[9, 22, 35]"
images/stimuli_labeled/coco_shared_506__open_illuminated_refrigerator.jpg,0,34,0,0,3,"dog
on
truck","[9, 22, 35]"
blank.jpg,0,35,1,1,3,"open
illuminated
refrigerator","[9, 22, 35]"
images/stimuli_labeled/coco_shared_448__laptop_with_stickers.jpg,0,0,0,0,4,blank,"[9, 20, 35]"
images/stimuli_labeled/coco_shared_485__vintage_yamaha_motorcycles.jpg,0,1,0,0,4,"laptop
with
stickers","[9, 20, 35]"
images/stimuli_labeled/target0__man_dog_stairs.jpg,0,2,0,0,4,"vintage
yamaha
motorcycles","[9, 20, 35]"
images/stimuli_labeled/coco_nonshared_6148__bed_by_window.jpg,0,3,0,0,4,"man
dog
stairs","[9, 20, 35]"
images/stimuli_labeled/coco_shared_334__boat_in_algae.jpg,0,4,0,0,4,"bed
by
window","[9, 20, 35]"
images/stimuli_labeled/coco_shared_643__vintage_bedside_lamp.jpg,0,5,0,0,4,"boat
in
algae","[9, 20, 35]"
images/stimuli_labeled/extra48__gothic_church_spire.jpg,0,6,0,0,4,"vintage
bedside
lamp","[9, 20, 35]"
images/stimuli_labeled/coco_shared_412__colorful_beach_boats.jpg,0,7,0,0,4,"gothic
church
spire","[9, 20, 35]"
images/stimuli_labeled/coco_shared_739__bathroom_sink_countertop.jpg,0,8,0,0,4,"colorful
beach
boats","[9, 20, 35]"
blank.jpg,0,9,1,0,4,"bathroom
sink
countertop","[9, 20, 35]"
images/stimuli_labeled/coco_nonshared_51214__childs_bedroom_stuffedanimal.jpg,0,10,0,0,4,blank,"[9, 20, 35]"
images/stimuli_labeled/coco_shared_240__cat_in_suitcase.jpg,0,11,0,0,4,"childs
bedroom
stuffedanimal","[9, 20, 35]"
images/stimuli_labeled/coco_shared_825__wooden_bunk_beds.jpg,0,12,0,0,4,"cat
in
suitcase","[9, 20, 35]"
images/stimuli_labeled/coco_nonshared_70590__woman_cat_couch.jpg,0,13,0,0,4,"wooden
bunk
beds","[9, 20, 35]"
images/stimuli_labeled/coco_shared_122__hanging_kitchen_pots.jpg,0,14,0,0,4,"woman
cat
couch","[9, 20, 35]"
images/stimuli_labeled/coco_nonshared_58517__street_vendor_cart.jpg,0,15,0,0,4,"hanging
kitchen
pots","[9, 20, 35]"
images/stimuli_labeled/coco_shared_441__illuminated_waterfront_canopy.jpg,0,16,0,0,4,"street
vendor
cart","[9, 20, 35]"
images/stimuli_labeled/coco_shared_976__blue_orbit_bus.jpg,0,17,0,0,4,"illuminated
waterfront
canopy","[9, 20, 35]"
images/stimuli_labeled/coco_shared_892__turquoise_passenger_train.jpg,1,18,0,0,4,"blue
orbit
bus","[9, 20, 35]"
images/stimuli_labeled/coco_shared_76__child_holding_flower.jpg,0,19,0,0,4,"turquoise
passenger
train","[9, 20, 35]"
blank.jpg,0,20,1,0,4,"child
holding
flower","[9, 20, 35]"
images/stimuli_labeled/coco_nonshared_7021__retro_kitchen_scene.jpg,0,21,0,0,4,blank,"[9, 20, 35]"
images/stimuli_labeled/coco_nonshared_61054__cats_on_bed.jpg,0,22,0,0,4,"retro
kitchen
scene","[9, 20, 35]"
images/stimuli_labeled/coco_nonshared_650__ancient_wooden_utensils.jpg,0,23,0,0,4,"cats
on
bed","[9, 20, 35]"
images/stimuli_labeled/coco_shared_233__man_feeding_meter.jpg,0,24,0,0,4,"ancient
wooden
utensils","[9, 20, 35]"
images/stimuli_labeled/coco_nonshared_52175__window_bed_tree.jpg,0,25,0,0,4,"man
feeding
meter","[9, 20, 35]"
images/stimuli_labeled/coco_nonshared_53169__dog_window_bicycle.jpg,0,26,0,0,4,"window
bed
tree","[9, 20, 35]"
images/stimuli_labeled/coco_shared_871__ornate_astronomical_clock.jpg,0,27,0,0,4,"dog
window
bicycle","[9, 20, 35]"
images/stimuli_labeled/coco_shared_344__messy_unmade_bed.jpg,0,28,0,0,4,"ornate
astronomical
clock","[9, 20, 35]"
images/stimuli_labeled/coco_shared_669__cubicle_laptop_workspace.jpg,0,29,0,0,4,"messy
unmade
bed","[9, 20, 35]"
images/stimuli_labeled/coco_shared_182__toilet_plunger_paper.jpg,0,30,0,0,4,"cubicle
laptop
workspace","[9, 20, 35]"
images/stimuli_labeled/coco_shared_970__small_white_bathroom.jpg,0,31,0,0,4,"toilet
plunger
paper","[9, 20, 35]"
images/stimuli_labeled/coco_shared_564__marc_locomotive_passing.jpg,0,32,0,0,4,"small
white
bathroom","[9, 20, 35]"
images/stimuli_labeled/coco_shared_218__friends_eating_sandwiches.jpg,0,33,0,0,4,"marc
locomotive
passing","[9, 20, 35]"
images/stimuli_labeled/coco_shared_720__urban_bike_lane.jpg,0,34,0,0,4,"friends
eating
sandwiches","[9, 20, 35]"
blank.jpg,0,35,1,1,4,"urban
bike
lane","[9, 20, 35]"
images/stimuli_labeled/coco_shared_397__messy_desk_cat.jpg,0,0,0,0,5,blank,"[12, 20, 35]"
images/stimuli_labeled/coco_shared_699__luggage_on_grass.jpg,0,1,0,0,5,"messy
desk
cat","[12, 20, 35]"
images/stimuli_labeled/coco_shared_260__dog_in_chair.jpg,0,2,0,0,5,"luggage
on
grass","[12, 20, 35]"
images/stimuli_labeled/coco_shared_48__red_doubledecker_bus.jpg,1,3,0,0,5,"dog
in
chair","[12, 20, 35]"
images/stimuli_labeled/coco_shared_881__colorful_fire_hydrant.jpg,0,4,0,0,5,"red
doubledecker
bus","[12, 20, 35]"
images/stimuli_labeled/coco_nonshared_49429__dog_under_desk.jpg,0,5,0,0,5,"colorful
fire
hydrant","[12, 20, 35]"
images/stimuli_labeled/coco_shared_673__vintage_mint_bathroom.jpg,0,6,0,0,5,"dog
under
desk","[12, 20, 35]"
images/stimuli_labeled/coco_shared_300__cat_on_quilt.jpg,0,7,0,0,5,"vintage
mint
bathroom","[12, 20, 35]"
images/stimuli_labeled/coco_shared_736__yellow_train_locomotive.jpg,0,8,0,0,5,"cat
on
quilt","[12, 20, 35]"
images/stimuli_labeled/coco_shared_129__modern_bathroom_interior.jpg,0,9,0,0,5,"yellow
train
locomotive","[12, 20, 35]"
images/stimuli_labeled/coco_shared_744__happy_smiling_dog.jpg,0,10,0,0,5,"modern
bathroom
interior","[12, 20, 35]"
images/stimuli_labeled/coco_shared_546__hotel_room_interior.jpg,0,11,0,0,5,"happy
smiling
dog","[12, 20, 35]"
blank.jpg,0,12,1,0,5,"hotel
room
interior","[12, 20, 35]"
images/stimuli_labeled/coco_nonshared_34706__dog_under_desk.jpg,0,13,0,0,5,blank,"[12, 20, 35]"
images/stimuli_labeled/coco_nonshared_66602__bicycle_carrying_cheese.jpg,0,14,0,0,5,"dog
under
desk","[12, 20, 35]"
images/stimuli_labeled/coco_shared_831__calm_winter_river.jpg,0,15,0,0,5,"bicycle
carrying
cheese","[12, 20, 35]"
images/stimuli_labeled/coco_shared_485__vintage_yamaha_motorcycles.jpg,1,16,0,0,5,"calm
winter
river","[12, 20, 35]"
images/stimuli_labeled/coco_shared_145__bike_hydrant_doorway.jpg,1,17,0,0,5,"vintage
yamaha
motorcycles","[12, 20, 35]"
images/stimuli_labeled/coco_shared_827__wooden_boardwalk_bench.jpg,0,18,0,0,5,"bike
hydrant
doorway","[12, 20, 35]"
images/stimuli_labeled/coco_nonshared_30064__cat_bed_companionship.jpg,0,19,0,0,5,"wooden
boardwalk
bench","[12, 20, 35]"
blank.jpg,0,20,1,0,5,"cat
bed
companionship","[12, 20, 35]"
images/stimuli_labeled/target0__man_dog_stairs.jpg,1,21,0,0,5,blank,"[12, 20, 35]"
images/stimuli_labeled/coco_shared_828__vintage_steam_locomotive.jpg,0,22,0,0,5,"man
dog
stairs","[12, 20, 35]"
images/stimuli_labeled/coco_shared_359__no_cycling_sign.jpg,0,23,0,0,5,"vintage
steam
locomotive","[12, 20, 35]"
images/stimuli_labeled/extra8__man_with_mustache.jpg,0,24,0,0,5,"no
cycling
sign","[12, 20, 35]"
images/stimuli_labeled/coco_shared_564__marc_locomotive_passing.jpg,1,25,0,0,5,"man
with
mustache","[12, 20, 35]"
images/stimuli_labeled/coco_shared_238__canal_boat_ride.jpg,0,26,0,0,5,"marc
locomotive
passing","[12, 20, 35]"
images/stimuli_labeled/coco_shared_545__asianstyle_interior_decor.jpg,0,27,0,0,5,"canal
boat
ride","[12, 20, 35]"
images/stimuli_labeled/coco_shared_768__elegant_bathroom_vanity.jpg,0,28,0,0,5,"asianstyle
interior
decor","[12, 20, 35]"
images/stimuli_labeled/coco_nonshared_52752__yellow_taxi_fruit.jpg,0,29,0,0,5,"elegant
bathroom
vanity","[12, 20, 35]"
images/stimuli_labeled/coco_shared_742__bathroom_cabinet_sink.jpg,0,30,0,0,5,"yellow
taxi
fruit","[12, 20, 35]"
images/stimuli_labeled/coco_shared_990__boat_on_beach.jpg,0,31,0,0,5,"bathroom
cabinet
sink","[12, 20, 35]"
images/stimuli_labeled/extra5__sun_hat_turtle.jpg,0,32,0,0,5,"boat
on
beach","[12, 20, 35]"
images/stimuli_labeled/coco_shared_502__red_doubledecker_buses.jpg,0,33,0,0,5,"sun
hat
turtle","[12, 20, 35]"
images/stimuli_labeled/target1__musician_playing_trumpet.jpg,0,34,0,0,5,"red
doubledecker
buses","[12, 20, 35]"
blank.jpg,0,35,1,1,5,"musician
playing
trumpet","[12, 20, 35]"
images/stimuli_labeled/coco_shared_860__train_station_platform.jpg,0,0,0,0,6,blank,"[12, 18, 35]"
images/stimuli_labeled/coco_shared_208__ornate_clock_facade.jpg,1,1,0,0,6,"train
station
platform","[12, 18, 35]"
images/stimuli_labeled/coco_nonshared_65113__polkadot_dress_woman.jpg,0,2,0,0,6,"ornate
clock
facade","[12, 18, 35]"
images/stimuli_labeled/extra24__smoking_man_stairs.jpg,0,3,0,0,6,"polkadot
dress
woman","[12, 18, 35]"
images/stimuli_labeled/coco_nonshared_21602__people_on_terrace.jpg,0,4,0,0,6,"smoking
man
stairs","[12, 18, 35]"
